Name of anime;Link of anime;next episode;Image of anime
Healin' Good ♡ Precure;https://animekisa.tv/healin-good---precure-episode-28;Episode 28                       🕙;https://animekisa.tv/img/coversjpg/healin-good---precure.jpg.webp?112
Taisou Zamurai;https://animekisa.tv/taisou-zamurai-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/taisou-zamurai.png.webp?112
Senyoku no Sigrdrifa;https://animekisa.tv/senyoku-no-sigrdrifa-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/senyoku-no-sigrdrifa.jpg.webp?112
Gochuumon wa Usagi Desu ka? Bloom;https://animekisa.tv/gochuumon-wa-usagi-desu-ka-bloom-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/gochuumon-wa-usagi-desu-ka-bloom.png.webp?112
Motto! Majime ni Fumajime Kaiketsu Zorori;https://animekisa.tv/motto!-majime-ni-fumajime-kaiketsu-zorori-episode-20;Episode 20                       🕙;https://animekisa.tv/img/coversjpg/motto!-majime-ni-fumajime-kaiketsu-zorori.jpg.webp?112
Dragon Quest: Dai no Daibouken (2020);https://animekisa.tv/dragon-quest-dai-no-daibouken-2020-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/dragon-quest-dai-no-daibouken-2020.png.webp?112
Haikyuu!! TO THE TOP 2;https://animekisa.tv/haikyuu!!-to-the-top-2-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/haikyuu!!-to-the-top-2.png.webp?112
Rail Romanesque;https://animekisa.tv/rail-romanesque-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/rail-romanesque.jpg.webp?112
Healin' Good ♡ Precure;https://animekisa.tv/healin-good---precure-episode-28;Episode 28                       🕙;https://animekisa.tv/img/coversjpg/healin-good---precure.jpg.webp?112
Taisou Zamurai;https://animekisa.tv/taisou-zamurai-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/taisou-zamurai.png.webp?112
Senyoku no Sigrdrifa;https://animekisa.tv/senyoku-no-sigrdrifa-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/senyoku-no-sigrdrifa.jpg.webp?112
Gochuumon wa Usagi Desu ka? Bloom;https://animekisa.tv/gochuumon-wa-usagi-desu-ka-bloom-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/gochuumon-wa-usagi-desu-ka-bloom.png.webp?112
Motto! Majime ni Fumajime Kaiketsu Zorori;https://animekisa.tv/motto!-majime-ni-fumajime-kaiketsu-zorori-episode-20;Episode 20                       🕙;https://animekisa.tv/img/coversjpg/motto!-majime-ni-fumajime-kaiketsu-zorori.jpg.webp?112
Dragon Quest: Dai no Daibouken (2020);https://animekisa.tv/dragon-quest-dai-no-daibouken-2020-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/dragon-quest-dai-no-daibouken-2020.png.webp?112
Haikyuu!! TO THE TOP 2;https://animekisa.tv/haikyuu!!-to-the-top-2-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/haikyuu!!-to-the-top-2.png.webp?112
Rail Romanesque;https://animekisa.tv/rail-romanesque-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/rail-romanesque.jpg.webp?112
Healin' Good ♡ Precure;https://animekisa.tv/healin-good---precure-episode-28;Episode 28                       🕙;https://animekisa.tv/img/coversjpg/healin-good---precure.jpg.webp?112
Taisou Zamurai;https://animekisa.tv/taisou-zamurai-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/taisou-zamurai.png.webp?112
Senyoku no Sigrdrifa;https://animekisa.tv/senyoku-no-sigrdrifa-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/senyoku-no-sigrdrifa.jpg.webp?112
Gochuumon wa Usagi Desu ka? Bloom;https://animekisa.tv/gochuumon-wa-usagi-desu-ka-bloom-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/gochuumon-wa-usagi-desu-ka-bloom.png.webp?112
Motto! Majime ni Fumajime Kaiketsu Zorori;https://animekisa.tv/motto!-majime-ni-fumajime-kaiketsu-zorori-episode-20;Episode 20                       🕙;https://animekisa.tv/img/coversjpg/motto!-majime-ni-fumajime-kaiketsu-zorori.jpg.webp?112
Dragon Quest: Dai no Daibouken (2020);https://animekisa.tv/dragon-quest-dai-no-daibouken-2020-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/dragon-quest-dai-no-daibouken-2020.png.webp?112
Haikyuu!! TO THE TOP 2;https://animekisa.tv/haikyuu!!-to-the-top-2-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/haikyuu!!-to-the-top-2.png.webp?112
Rail Romanesque;https://animekisa.tv/rail-romanesque-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/rail-romanesque.jpg.webp?112
Healin' Good ♡ Precure;https://animekisa.tv/healin-good---precure-episode-28;Episode 28                       🕙;https://animekisa.tv/img/coversjpg/healin-good---precure.jpg.webp?112
Taisou Zamurai;https://animekisa.tv/taisou-zamurai-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/taisou-zamurai.png.webp?112
Senyoku no Sigrdrifa;https://animekisa.tv/senyoku-no-sigrdrifa-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/senyoku-no-sigrdrifa.jpg.webp?112
Gochuumon wa Usagi Desu ka? Bloom;https://animekisa.tv/gochuumon-wa-usagi-desu-ka-bloom-episode-1;Episode 1                       🕙;https://animekisa.tv/img/coversjpg/gochuumon-wa-usagi-desu-ka-bloom.png.webp?112
Motto! Majime ni Fumajime Kaiketsu Zorori;https://animekisa.tv/motto!-majime-ni-fumajime-kaiketsu-zorori-episode-20;Episode 20                       🕙;https://animekisa.tv/img/coversjpg/motto!-majime-ni-fumajime-kaiketsu-zorori.jpg.webp?112
Dragon Quest: Dai no Daibouken (2020);https://animekisa.tv/dragon-quest-dai-no-daibouken-2020-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/dragon-quest-dai-no-daibouken-2020.png.webp?112
Haikyuu!! TO THE TOP 2;https://animekisa.tv/haikyuu!!-to-the-top-2-episode-2;Episode 2                       🕙;https://animekisa.tv/img/coversjpg/haikyuu!!-to-the-top-2.png.webp?112
